product,Color,SIZE,Type/ Model,,catagory,SKU,סוג,שם,תיאור,במלאי?,מלאי,מחיר רגיל,קטגוריות,תגיות,Images,שיוך 1 שמות,שיוך 1 ערכים,אב,שיוך 1 פריטים גלובליים
BG,BK,18,SA,BOXING GLOVES,,BGSA-BK-18,variation,"SUPER AIR black,כפפות איגרוף עור",,1,3,545,,,https://activebrands.co.il/wp-content/uploads-new/2022/09/TKBGSA-222-scaled.jpg,weight,18OZ,BGSA-BK,1
,,,,,,,,,,,,,,,,,,,
,,,,,,BGSA-WH,variable,"SUPER AIR white,כפפות איגרוף עור","כפפות האגרוף מסדרת SUPER AIR עשויות עור מלא בעבודת יד, בעלות רשת אוורור",1,,,כפפות איגרוף,"אגרוף, אגרוף תאילנדי, כפפות, כפפות לחימה",https://activebrands.co.il/wp-content/uploads-new/2022/09/TKBGSA-111-scaled.jpg,weight,"8OZ, 10OZ, 12OZ, 14OZ, 16OZ",1,1
BG,WH,8,SA,BOXING GLOVES,,BGSA-WH-8,variation,"SUPER AIR white,כפפות איגרוף עור",,0,0,545,,,https://activebrands.co.il/wp-content/uploads-new/2022/09/TKBGSA-111-scaled.jpg,weight,8OZ,BGSA-WH,1
BG,WH,10,SA,BOXING GLOVES,,BGSA-WH-10,variation,"SUPER AIR white,כפפות איגרוף עור",,0,0,545,,,https://activebrands.co.il/wp-content/uploads-new/2022/09/TKBGSA-111-scaled.jpg,weight,10OZ,BGSA-WH,1
BG,WH,12,SA,BOXING GLOVES,,BGSA-WH-12,variation,"SUPER AIR white,כפפות איגרוף עור",,1,10,545,,,https://activebrands.co.il/wp-content/uploads-new/2022/09/TKBGSA-111-scaled.jpg,weight,12OZ,BGSA-WH,1
BG,WH,14,SA,BOXING GLOVES,,BGSA-WH-14,variation,"SUPER AIR white,כפפות איגרוף עור",,1,16,545,,,https://activebrands.co.il/wp-content/uploads-new/2022/09/TKBGSA-111-scaled.jpg,weight,14OZ,BGSA-WH,1
BG,WH,16,SA,BOXING GLOVES,,BGSA-WH-16,variation,"SUPER AIR white,כפפות איגרוף עור",,1,26,545,,,https://activebrands.co.il/wp-content/uploads-new/2022/09/TKBGSA-111-scaled.jpg,weight,16OZ,BGSA-WH,1
BG,WH,18,SA,BOXING GLOVES,,BGSA-WH-18,variation,"SUPER AIR white,כפפות איגרוף עור",,1,3,545,,,https://activebrands.co.il/wp-content/uploads-new/2022/09/TKBGSA-111-scaled.jpg,weight,18OZ,BGSA-WH,1
,,,,,,,,,,,,,,,,,,,
,,,,,,BGSA-BU,variable,"SUPER AIR blue,כפפות איגרוף עור","כפפות האגרוף מסדרת SUPER AIR עשויות עור מלא בעבודת יד, בעלות רשת אוורור",0,,,כפפות איגרוף,"אגרוף, אגרוף תאילנדי, כפפות, כפפות לחימה",https://activebrands.co.il/wp-content/uploads-new/2020/12/BGSA-BU.jpg,weight,"8OZ, 10OZ, 12OZ, 14OZ, 16OZ",1,1
BG,BU,8,SA,BOXING GLOVES,,BGSA-BU-8,variation,"SUPER AIR blue,כפפות איגרוף עור",,0,0,545,,,https://activebrands.co.il/wp-content/uploads-new/2020/12/BGSA-BU.jpg,weight,8OZ,BGSA-BU,1
BG,BU,10,SA,BOXING GLOVES,,BGSA-BU-10,variation,"SUPER AIR blue,כפפות איגרוף עור",,0,0,545,,,https://activebrands.co.il/wp-content/uploads-new/2020/12/BGSA-BU.jpg,weight,10OZ,BGSA-BU,1
BG,BU,12,SA,BOXING GLOVES,,BGSA-BU-12,variation,"SUPER AIR blue,כפפות איגרוף עור",,0,0,545,,,https://activebrands.co.il/wp-content/uploads-new/2020/12/BGSA-BU.jpg,weight,12OZ,BGSA-BU,1
BG,BU,14,SA,BOXING GLOVES,,BGSA-BU-14,variation,"SUPER AIR blue,כפפות איגרוף עור",,0,0,545,,,https://activebrands.co.il/wp-content/uploads-new/2020/12/BGSA-BU.jpg,weight,14OZ,BGSA-BU,1
